[genesys] WARNING: Your scanner is not fully supported or at least 
[genesys]          had only limited testing. Please be careful and 
[genesys]          report any failure/success to 
[genesys]          sane-devel@lists.alioth.debian.org. Please provide as many
[genesys]          details as possible, e.g. the exact name of your
[genesys]          scanner and what does (not) work.
[sanei_debug] Setting debug level of genesys_low to 255.
[genesys_low] sanei_genesys_read_gl847_register(0x06)=0x50
[genesys_low] sanei_genesys_write_gl847_register (0x0e, 0x01) completed
[genesys_low] sanei_genesys_write_gl847_register (0x0e, 0x00) completed
[genesys_low] sanei_genesys_read_gl847_register(0x40)=0xf0
[genesys_low] sanei_genesys_read_gl847_register(0x00)=0x05
[genesys_low] sanei_genesys_read_gl847_register(0xa6)=0x00
[genesys_low] sanei_genesys_write_gl847_register (0xa6, 0x04) completed
[genesys_low] sanei_genesys_write_gl847_register (0xa7, 0x0f) completed
[genesys_low] sanei_genesys_write_gl847_register (0xa9, 0x00) completed
[genesys_low] sanei_genesys_write_gl847_register (0x6b, 0x02) completed
[genesys_low] sanei_genesys_write_gl847_register (0x6c, 0x00) completed
[genesys_low] sanei_genesys_write_gl847_register (0x6d, 0x20) completed
[genesys_low] sanei_genesys_write_gl847_register (0x6e, 0x7e) completed
[genesys_low] sanei_genesys_write_gl847_register (0x6f, 0x21) completed
[genesys_low] sanei_genesys_write_gl847_register (0x01, 0x82) completed
[genesys_low] sanei_genesys_write_gl847_register (0x02, 0x18) completed
[genesys_low] sanei_genesys_write_gl847_register (0x03, 0x50) completed
[genesys_low] sanei_genesys_write_gl847_register (0x04, 0x12) completed
[genesys_low] sanei_genesys_write_gl847_register (0x05, 0x80) completed
[genesys_low] sanei_genesys_write_gl847_register (0x06, 0x50) completed
[genesys_low] sanei_genesys_write_gl847_register (0x08, 0x10) completed
[genesys_low] sanei_genesys_write_gl847_register (0x09, 0x01) completed
[genesys_low] sanei_genesys_write_gl847_register (0x0a, 0x00) completed
[genesys_low] sanei_genesys_write_gl847_register (0x0b, 0x01) completed
[genesys_low] sanei_genesys_write_gl847_register (0x0c, 0x02) completed
[genesys_low] sanei_genesys_write_gl847_register (0x10, 0x00) completed
[genesys_low] sanei_genesys_write_gl847_register (0x11, 0x00) completed
[genesys_low] sanei_genesys_write_gl847_register (0x12, 0x00) completed
[genesys_low] sanei_genesys_write_gl847_register (0x13, 0x00) completed
[genesys_low] sanei_genesys_write_gl847_register (0x14, 0x00) completed
[genesys_low] sanei_genesys_write_gl847_register (0x15, 0x00) completed
[genesys_low] sanei_genesys_write_gl847_register (0x16, 0x10) completed
[genesys_low] sanei_genesys_write_gl847_register (0x17, 0x08) completed
[genesys_low] sanei_genesys_write_gl847_register (0x18, 0x00) completed
[genesys_low] sanei_genesys_write_gl847_register (0x19, 0x50) completed
[genesys_low] sanei_genesys_write_gl847_register (0x1a, 0x34) completed
[genesys_low] sanei_genesys_write_gl847_register (0x1b, 0x00) completed
[genesys_low] sanei_genesys_write_gl847_register (0x1c, 0x02) completed
[genesys_low] sanei_genesys_write_gl847_register (0x1d, 0x04) completed
[genesys_low] sanei_genesys_write_gl847_register (0x1e, 0x10) completed
